iter	Passed	Remaining
878	7885	1085
879	7892	1076
880	7899	1067
881	7906	1057
882	7912	1048
883	7919	1039
884	7926	1029
885	7933	1020
886	7939	1011
887	7946	1002
888	7953	993
889	7959	983
890	7966	974
891	7972	965
892	7979	956
893	7985	946
894	7992	937
895	7999	928
896	8005	919
897	8012	910
898	8019	900
899	8026	891
900	8033	882
901	8039	873
902	8045	864
903	8052	855
904	8059	845
905	8065	836
906	8072	827
907	8079	818
908	8086	809
909	8092	800
910	8100	791
911	8106	782
912	8113	773
913	8120	764
914	8127	754
915	8133	745
916	8141	736
917	8148	727
918	8154	718
919	8161	709
920	8168	700
921	8174	691
922	8181	682
923	8187	673
924	8194	664
925	8200	655
926	8207	646
927	8213	637
928	8220	628
929	8226	619
930	8233	610
931	8239	601
932	8246	592
933	8252	583
934	8259	574
935	8266	565
936	8272	556
937	8279	547
938	8286	538
939	8293	529
940	8299	520
941	8306	511
942	8313	502
943	8320	493
944	8326	484
945	8333	475
946	8340	466
947	8346	457
948	8353	448
949	8360	440
950	8366	431
951	8373	422
952	8380	413
953	8387	404
954	8393	395
955	8399	386
956	8406	377
957	8413	368
958	8419	359
959	8427	351
960	8436	342
961	8442	333
962	8449	324
963	8456	315
964	8463	306
965	8470	298
966	8477	289
967	8485	280
968	8492	271
969	8500	262
970	8507	254
971	8514	245
972	8521	236
973	8528	227
974	8535	218
975	8542	210
976	8548	201
977	8555	192
978	8562	183
979	8568	174
980	8574	166
981	8581	157
982	8587	148
983	8594	139
984	8601	130
985	8607	122
986	8614	113
987	8620	104
988	8627	95
989	8633	87
990	8640	78
991	8648	69
992	8654	61
993	8661	52
994	8668	43
995	8674	34
996	8681	26
997	8687	17
998	8694	8
999	8701	0
